Run,Time
1,12.588119733
2,12.759450655
3,12.567227292
4,15.313951459
5,17.271642126
6,14.098348335
7,14.470692512
8,13.668759844
9,14.549884819
10,14.105875035
11,14.60919968
12,14.648785632
13,13.742605983
14,14.444762743
15,19.445224679
16,14.032872823
17,13.355109406
18,13.745137008
19,14.991100945
20,14.286446456
